,links,category
369,https://evtol.news/heitech-air-f1,Wingless (Multicopter)
370,https://evtol.news/heitech-cruiser,Wingless (Multicopter)
371,http://evtol.news/hoversurf-formula-no-wing/,Wingless (Multicopter)
372,https://evtol.news/hoversurf-formula-2-prototype,Wingless (Multicopter)
373,https://evtol.news/hoversurf-scorpion-air-taxi,Wingless (Multicopter)
374,https://evtol.news/hoversurf-scorpion-cargo-drone,Wingless (Multicopter)
375,http://evtol.news/imagineactive-ambular/,Wingless (Multicopter)
376,http://evtol.news/jetpack-aviation/,Wingless (Multicopter)
377,http://evtol.news/karman-xk-1/,Wingless (Multicopter)
378,http://evtol.news/kenyan-passenger-drone/,Wingless (Multicopter)
379,http://evtol.news/kitty-hawk-flyer/,Wingless (Multicopter)
380,https://evtol.news/kovacs-passenger-drone,Wingless (Multicopter)
381,https://evtol.news/kovacs-heavy-duty-drone,Wingless (Multicopter)
382,https://evtol.news/lazzarini-fd-one,Wingless (Multicopter)
383,https://evtol.news/lazzarini-hover-coup,Wingless (Multicopter)
384,https://evtol.news/lazzarini-ifo,Wingless (Multicopter)
385,https://evtol.news/lazzarini-linux,Wingless (Multicopter)
386,https://evtol.news/lazzarini-stratosfera,Wingless (Multicopter)
387,http://evtol.news/lift-hexa/,Wingless (Multicopter)
388,https://evtol.news/malloy-aeronautics-trv-150,Wingless (Multicopter)
389,http://evtol.news/mandrone/,Wingless (Multicopter)
390,http://evtol.news/workhorse/,Wingless (Multicopter)
391,http://evtol.news/nec-flying-car/,Wingless (Multicopter)
392,http://evtol.news/neo-aeronautics-crimson-s8/,Wingless (Multicopter)
393,https://evtol.news/neo-aeronautics-crimson-s8-sr,Wingless (Multicopter)
394,http://evtol.news/nus-snowstorm/,Wingless (Multicopter)
395,http://evtol.news/over/,Wingless (Multicopter)
396,http://evtol.news/pav-x-ultralight/,Wingless (Multicopter)
397,http://evtol.news/pav-x/,Wingless (Multicopter)
398,http://evtol.news/piasecki-air-scout/,Wingless (Multicopter)
399,https://evtol.news/ponti-design-studio-kite,Wingless (Multicopter)
400,http://evtol.news/pop-up-next/,Wingless (Multicopter)
401,https://evtol.news/pr-dc-flying-car,Wingless (Multicopter)
402,https://evtol.news/prime-design-consultancy-services-haricopter-x1-b,Wingless (Multicopter)
403,https://evtol.news/rosari-vultran-tyger-1,Wingless (Multicopter)
404,https://evtol.news/star-8-green-ecav-50,Wingless (Multicopter)
405,https://evtol.news/star-8-green-ecav-100,Wingless (Multicopter)
406,https://evtol.news/star-8-green-ecav-150,Wingless (Multicopter)
407,https://evtol.news/star-8-green-emav-2-flying-car,Wingless (Multicopter)
408,https://evtol.news/star-8-green-emav-2-flying-taxi,Wingless (Multicopter)
409,https://evtol.news/star-8-green-emav-4-flying-taxi,Wingless (Multicopter)
410,https://evtol.news/star-8-green-emav-sports-flyer,Wingless (Multicopter)
411,https://evtol.news/star-8-green-hoverboard-v10,Wingless (Multicopter)
412,https://evtol.news/star-8-green-hoverboard-v20,Wingless (Multicopter)
413,http://evtol.news/gravity-x/,Wingless (Multicopter)
414,https://evtol.news/star-8-green-rescue-drone,Wingless (Multicopter)
415,https://evtol.news/stuttgart-aerospace-cargo-box,Wingless (Multicopter)
